,Sampling Rate [kHz],Fault Location,Fault Width [mm],Motor load [hp],Shaft speed [rpm],Fault Mode,File Number
43,12,DE,0.18,3,1730,Ball Fault,121
44,12,DE,0.36,0,1797,Ball Fault,185
45,12,DE,0.36,1,1772,Ball Fault,186
46,12,DE,0.36,2,1750,Ball Fault,187
47,12,DE,0.36,3,1730,Ball Fault,188
48,12,DE,0.53,0,1797,Ball Fault,222
49,12,DE,0.53,1,1772,Ball Fault,223
50,12,DE,0.53,2,1750,Ball Fault,224
51,12,DE,0.53,3,1730,Ball Fault,225
52,12,DE,0.71,0,1797,Ball Fault,3005
53,12,DE,0.71,1,1772,Ball Fault,3006
54,12,DE,0.71,2,1750,Ball Fault,3007
55,12,DE,0.71,3,1730,Ball Fault,3008
56,48,DE,0.18,0,1797,Ball Fault,122
57,48,DE,0.18,1,1772,Ball Fault,123
58,48,DE,0.18,2,1750,Ball Fault,124
59,48,DE,0.18,3,1730,Ball Fault,125
60,48,DE,0.36,0,1797,Ball Fault,189
61,48,DE,0.36,1,1772,Ball Fault,190
62,48,DE,0.36,2,1750,Ball Fault,191
63,48,DE,0.36,3,1730,Ball Fault,192
64,48,DE,0.53,0,1797,Ball Fault,226
65,48,DE,0.53,1,1772,Ball Fault,227
66,48,DE,0.53,2,1750,Ball Fault,228
67,48,DE,0.53,3,1730,Ball Fault,229
68,12,FE,0.18,0,1797,Ball Fault,282
69,12,FE,0.18,1,1772,Ball Fault,283
70,12,FE,0.18,2,1750,Ball Fault,284
71,12,FE,0.18,3,1730,Ball Fault,285
72,12,FE,0.36,0,1797,Ball Fault,286
73,12,FE,0.36,1,1772,Ball Fault,287
74,12,FE,0.36,2,1750,Ball Fault,288
75,12,FE,0.36,3,1730,Ball Fault,289
76,12,FE,0.53,0,1797,Ball Fault,290
77,12,FE,0.53,1,1772,Ball Fault,291
78,12,FE,0.53,2,1750,Ball Fault,292
79,12,FE,0.53,3,1730,Ball Fault,293
80,12,DE,0.18,0,1797,Outer Race Fault: Centre,130
81,12,DE,0.18,1,1772,Outer Race Fault: Centre,131
82,12,DE,0.18,2,1750,Outer Race Fault: Centre,132
83,12,DE,0.18,3,1730,Outer Race Fault: Centre,133
84,12,DE,0.36,0,1797,Outer Race Fault: Centre,197
85,12,DE,0.36,1,1772,Outer Race Fault: Centre,198
86,12,DE,0.36,2,1750,Outer Race Fault: Centre,199
87,12,DE,0.36,3,1730,Outer Race Fault: Centre,200
88,12,DE,0.53,0,1797,Outer Race Fault: Centre,234
89,12,DE,0.53,1,1772,Outer Race Fault: Centre,235
90,12,DE,0.53,2,1750,Outer Race Fault: Centre,236
91,12,DE,0.53,3,1730,Outer Race Fault: Centre,237
92,48,DE,0.18,0,1797,Outer Race Fault: Centre,135
93,48,DE,0.18,1,1772,Outer Race Fault: Centre,136
94,48,DE,0.18,2,1750,Outer Race Fault: Centre,137
95,48,DE,0.18,3,1730,Outer Race Fault: Centre,138
96,48,DE,0.36,0,1797,Outer Race Fault: Centre,201
97,48,DE,0.36,1,1772,Outer Race Fault: Centre,202
98,48,DE,0.36,2,1750,Outer Race Fault: Centre,203
99,48,DE,0.36,3,1730,Outer Race Fault: Centre,204
100,48,DE,0.53,0,1797,Outer Race Fault: Centre,238
101,48,DE,0.53,1,1772,Outer Race Fault: Centre,239
102,48,DE,0.53,2,1750,Outer Race Fault: Centre,240
103,48,DE,0.53,3,1730,Outer Race Fault: Centre,241
104,12,FE,0.18,0,1797,Outer Race Fault: Centre,294
105,12,FE,0.18,1,1772,Outer Race Fault: Centre,295
106,12,FE,0.18,2,1750,Outer Race Fault: Centre,296
107,12,FE,0.18,3,1730,Outer Race Fault: Centre,297
108,12,FE,0.36,0,1797,Outer Race Fault: Centre,313
109,12,FE,0.53,0,1797,Outer Race Fault: Centre,315
110,12,DE,0.18,0,1797,Outer Race Fault: Orthogonal,144
111,12,DE,0.18,1,1772,Outer Race Fault: Orthogonal,145
112,12,DE,0.18,2,1750,Outer Race Fault: Orthogonal,146
113,12,DE,0.18,3,1730,Outer Race Fault: Orthogonal,147
114,12,DE,0.53,0,1797,Outer Race Fault: Orthogonal,246
115,12,DE,0.53,1,1772,Outer Race Fault: Orthogonal,247
116,12,DE,0.53,2,1750,Outer Race Fault: Orthogonal,248
117,12,DE,0.53,3,1730,Outer Race Fault: Orthogonal,249
118,48,DE,0.18,0,1797,Outer Race Fault: Orthogonal,148
119,48,DE,0.18,1,1772,Outer Race Fault: Orthogonal,149
120,48,DE,0.18,2,1750,Outer Race Fault: Orthogonal,150
121,48,DE,0.18,3,1730,Outer Race Fault: Orthogonal,151
122,48,DE,0.53,0,1797,Outer Race Fault: Orthogonal,250
123,48,DE,0.53,1,1772,Outer Race Fault: Orthogonal,251
124,48,DE,0.53,2,1750,Outer Race Fault: Orthogonal,252
125,48,DE,0.53,3,1730,Outer Race Fault: Orthogonal,253
126,12,FE,0.18,0,1797,Outer Race Fault: Orthogonal,298
127,12,FE,0.18,1,1772,Outer Race Fault: Orthogonal,299
128,12,FE,0.18,2,1750,Outer Race Fault: Orthogonal,300
129,12,FE,0.18,3,1730,Outer Race Fault: Orthogonal,301
130,12,FE,0.36,0,1797,Outer Race Fault: Orthogonal,310
131,12,FE,0.36,1,1772,Outer Race Fault: Orthogonal,309
132,12,FE,0.36,2,1750,Outer Race Fault: Orthogonal,311
133,12,FE,0.36,3,1730,Outer Race Fault: Orthogonal,312
134,12,FE,0.53,1,1772,Outer Race Fault: Orthogonal,316
135,12,FE,0.53,2,1750,Outer Race Fault: Orthogonal,317
136,12,FE,0.53,3,1730,Outer Race Fault: Orthogonal,318
137,12,DE,0.18,0,1797,Outer Race: Opposite ,156
138,12,DE,0.18,1,1772,Outer Race: Opposite ,158
139,12,DE,0.18,2,1750,Outer Race: Opposite ,159
140,12,DE,0.18,3,1730,Outer Race: Opposite ,160
141,12,DE,0.53,0,1797,Outer Race: Opposite ,258
142,12,DE,0.53,1,1772,Outer Race: Opposite ,259
143,12,DE,0.53,2,1750,Outer Race: Opposite ,260
144,12,DE,0.53,3,1730,Outer Race: Opposite ,261
145,48,DE,0.18,0,1797,Outer Race: Opposite ,161
146,48,DE,0.18,1,1772,Outer Race: Opposite ,162
147,48,DE,0.18,2,1750,Outer Race: Opposite ,163
148,48,DE,0.18,3,1730,Outer Race: Opposite ,164
149,48,DE,0.53,0,1797,Outer Race: Opposite ,262
150,48,DE,0.53,1,1772,Outer Race: Opposite ,263
151,48,DE,0.53,2,1750,Outer Race: Opposite ,264
152,48,DE,0.53,3,1730,Outer Race: Opposite ,265
153,12,FE,0.18,0,1797,Outer Race: Opposite ,302
154,12,FE,0.18,1,1772,Outer Race: Opposite ,305
155,12,FE,0.18,2,1750,Outer Race: Opposite ,306
156,12,FE,0.18,3,1730,Outer Race: Opposite ,307
157,48,NONE,0,0,1797,Reference,97
158,48,NONE,0,1,1772,Reference,98
159,48,NONE,0,2,1750,Reference,99
160,48,NONE,0,3,1730,Reference,100
